zip,population
1001,"16,088"
1002,"27,323"
1003,"13,711"
1005,"4,947"
1007,"15,304"
1008,"1,171"
1009,800
1010,"3,703"
1011,"1,332"
1012,503
1013,"22,709"
1020,"30,704"
1022,"2,235"
1026,"1,071"
1027,"17,708"
1028,"16,386"
1029,511
1030,"12,627"
1031,"1,577"
1032,430
1033,"6,110"
1034,"1,991"
1035,"5,293"
1036,"4,991"
1037,692
1038,"2,601"
1039,"1,675"
1040,"38,480"
1050,"2,593"
1053,"2,016"
1054,"1,794"
1056,"21,050"
1057,"8,288"
1060,"14,975"
1062,"9,835"
1063,"2,532"
1066,51
1068,"1,621"
1069,"8,870"
1070,621
1071,"1,280"
1072,"1,374"
1073,"6,158"
1074,584
1075,"18,051"
1077,"9,292"
1079,521
1080,"2,276"
1081,"1,748"
1082,"10,441"
1083,"2,701"
1084,101
1085,"41,715"
1088,663
1089,"28,814"
1092,"1,248"
1093,157
1094,70
1095,"14,737"
1096,"2,413"
1097,64
1098,"1,042"
1103,"2,168"
1104,"23,226"
1105,"12,527"
1106,"16,150"
1107,"12,387"
1108,"26,257"
1109,"31,242"
1118,"15,073"
1119,"13,803"
1128,"3,232"
1129,"5,916"
1144,1
1151,"9,640"
1201,"45,372"
1220,"8,161"
1222,754
1223,"2,658"
1224,186
1225,"3,243"
1226,"6,356"
1229,142
1230,"9,139"
1235,"2,610"
1236,"1,632"
1237,"2,332"
1238,"5,626"
1240,"4,926"
1242,279
1243,163
1244,164
1245,771
1247,"15,405"
1253,879
1254,995
1255,865
1256,708
1257,"2,034"
1258,161
1259,720
1260,331
1262,"1,627"
1264,252
1266,920
1267,"8,166"
1270,949
1301,"17,901"
1330,"1,542"
1331,"13,870"
1337,"2,492"
1338,97
1339,"1,493"
1340,"1,818"
1341,"1,658"
1342,"1,135"
1343,152
1344,"1,697"
1346,407
1347,207
1349,715
1350,114
1351,"2,725"
1354,"1,708"
1355,"1,010"
1360,"2,899"
1364,"7,684"
1366,"1,141"
1367,473
1368,"1,461"
1370,"3,690"
1373,"5,076"
1375,"3,667"
1376,"4,968"
1378,762
1379,819
1380,47
1420,"41,766"
1430,"6,316"
1431,"3,189"
1432,"7,912"
1434,"2,245"
1436,"3,673"
1438,365
1440,"21,310"
1450,"11,218"
1451,"5,068"
1452,"4,338"
1453,"43,478"
1460,"10,063"
1462,"11,657"
1463,"11,707"
1464,"7,400"
1468,"4,058"
1469,"7,479"
1473,"8,148"
1474,"1,665"
1475,"10,292"
1501,"16,684"
1503,"3,326"
1504,"9,188"
1505,"4,810"
1506,"3,435"
1507,"13,312"
1510,"15,221"
1515,"2,040"
1516,"9,186"
1518,"3,299"
1519,"7,626"
1520,"16,752"
1521,"2,591"
1522,"2,907"
1523,"8,359"
1524,"6,296"
1525,31
1527,"13,827"
1529,"3,166"
1531,"1,052"
1532,"15,605"
1534,"6,169"
1535,"4,757"
1536,"7,141"
1537,"1,775"
1540,"11,529"
1541,"3,502"
1542,"2,667"
1543,"8,988"
1545,"38,291"
1550,"17,643"
1560,"4,773"
1561,69
1562,"11,963"
1564,"8,015"
1566,"6,507"
1568,"7,826"
1569,"13,948"
1570,"17,664"
1571,"11,890"
1581,"21,213"
1583,"7,607"
1585,"4,864"
1588,"10,206"
1590,"9,219"
1602,"26,711"
1603,"20,184"
1604,"40,961"
1605,"30,353"
1606,"22,883"
1607,"8,836"
1608,"4,782"
1609,"23,509"
1610,"26,057"
1611,"2,209"
1612,"5,005"
1701,"33,319"
1702,"38,842"
1718,767
1719,"5,471"
1720,"23,107"
1721,"18,646"
1730,"14,233"
1731,"1,917"
1740,"5,606"
1741,"5,215"
1742,"18,393"
1745,538
1746,"14,386"
1747,"6,012"
1748,"18,501"
1749,"20,032"
1752,"41,505"
1754,"10,702"
1756,"6,212"
1757,"30,294"
1760,"36,354"
1770,"4,406"
1772,"9,842"
1773,"5,155"
1775,"7,130"
1776,"18,912"
1778,"14,060"
1801,"40,967"
1803,"26,234"
1810,"35,600"
1821,"31,499"
1824,"26,574"
1826,"32,313"
1827,"3,369"
1830,"27,403"
1832,"25,526"
1833,"8,384"
1834,"6,739"
1835,"14,164"
1840,"6,814"
1841,"53,180"
1843,"27,804"
1844,"52,502"
1845,"31,394"
1850,"16,438"
1851,"32,469"
1852,"36,740"
1854,"29,157"
1860,"6,698"
1862,"10,719"
1863,"9,697"
1864,"15,549"
1867,"25,511"
1876,"30,930"
1879,"12,454"
1880,"27,179"
1886,"24,535"
1887,"23,311"
1890,"22,875"
1901,"2,291"
1902,"51,008"
1904,"19,912"
1905,"26,962"
1906,"28,521"
1907,"15,183"
1908,"3,354"
1913,"17,286"
1915,"41,545"
1921,"8,265"
1922,"3,929"
1923,"27,789"
1929,"3,650"
1930,"29,814"
1937,177
1938,"13,740"
1940,"13,023"
1944,"5,382"
1945,"20,397"
1949,"9,726"
1950,"18,282"
1951,"2,816"
1952,"9,152"
1960,"54,051"
1965,903
1966,"7,014"
1969,"6,135"
1970,"44,372"
1982,"7,641"
1983,"6,530"
1984,"5,006"
1985,"4,500"
2019,"16,934"
2021,"24,122"
2025,"8,295"
2026,"25,308"
2030,"5,894"
2032,"4,878"
2035,"18,431"
2038,"33,057"
2043,"24,061"
2045,"10,120"
2047,187
2048,"23,768"
2050,"25,841"
2052,"12,775"
2053,"13,610"
2054,"8,481"
2056,"11,531"
2061,"11,258"
2062,"31,256"
2066,"18,781"
2067,"18,477"
2071,"1,248"
2072,"29,028"
2081,"20,287"
2090,"16,066"
2093,"12,077"
2108,"4,225"
2109,"3,627"
2110,"2,307"
2111,"7,841"
2113,"6,726"
2114,"13,401"
2115,"28,559"
2116,"22,587"
2118,"27,718"
2119,"28,307"
2120,"15,082"
2121,"29,888"
2122,"23,747"
2124,"56,070"
2125,"32,614"
2126,"25,572"
2127,"35,266"
2128,"45,501"
2129,"20,411"
2130,"41,112"
2131,"32,609"
2132,"26,437"
2133,1
2134,"18,437"
2135,"45,024"
2136,"40,947"
2138,"39,370"
2139,"39,707"
2140,"20,060"
2141,"13,953"
2142,"4,172"
2143,"25,264"
2144,"25,367"
2145,"27,359"
2148,"65,386"
2149,"48,584"
2150,"40,009"
2151,"60,736"
2152,"19,088"
2155,"62,996"
2163,"2,198"
2169,"60,459"
2170,"20,130"
2171,"19,923"
2176,"29,401"
